Monika Wielichowska;PO
Ryszard Wilczyński;PO
Wojciech Wilk;PO
Mariusz Witczak;PO
Marek Wójcik;PO
Marian Zembala;PO
Wojciech Ziemniak;PO
Szymon Ziółkowski;PO
Stanisław Żmijan;PO
Piotr Apel;Kukiz15
Wojciech Bakun;Kukiz15
Józef Brynkus;Kukiz15
Barbara Chrobak;Kukiz15
Grzegorz Długi;Kukiz15
Paweł Grabowski;Kukiz15
Jerzy Jachnik;Kukiz15
Marek Jakubiak;Kukiz15
Tomasz Jaskóła;Kukiz15
Bartosz Józwiak;Kukiz15
Norbert Kaczmarczyk;Kukiz15
Andrzej Kobylarz;Kukiz15
Jerzy Kozłowski;Kukiz15
Paweł Kukiz;Kukiz15
Jakub Kulesza;Kukiz15
Andrzej Maciejewski;Kukiz15
Maciej Masłowski;Kukiz15
Robert Mordak;Kukiz15
Błażej Parda;Kukiz15
Stefan Romecki;Kukiz15
Łukasz Rzepecki;Kukiz15
Tomasz Rzymkowski;Kukiz15
Jarosław Sachajko;Kukiz15
Krzysztof Sitarski;Kukiz15
Paweł Skutecki;Kukiz15
Paweł Szramka;Kukiz15
Agnieszka Ścigaj;Kukiz15
Stanisław Tyszka;Kukiz15
Elżbieta Zielińska;Kukiz15
Barbara Dolniak;Nowoczesna
Kamila Gasiuk-Pihowicz;Nowoczesna
Paulina Hennig-Kloska;Nowoczesna
Michał Jaros;Nowoczesna
Paweł Kobyliński;Nowoczesna
Ewa Lieder;Nowoczesna
Radosław Lubczyk;Nowoczesna
Katarzyna Lubnauer;Nowoczesna
Jerzy Meysztowicz;Nowoczesna
Krzysztof Mieszkowski;Nowoczesna
Piotr Misiło;Nowoczesna
Mirosław Pampuch;Nowoczesna
Paweł Pudłowski;Nowoczesna
Monika Rosa;Nowoczesna
Marek Ruciński;Nowoczesna
Marek Sowa;Nowoczesna
Elżbieta Stępień;Nowoczesna
Mirosław Suchoń;Nowoczesna
Adam Szłapka;Nowoczesna
Krzysztof Truskolaski;Nowoczesna
Kornelia Wróblewska;Nowoczesna
Witold Zembaczyński;Nowoczesna
Paweł Bejda;PSL
Stanisław Huskowski;PSL
Krystian Jarubas;PSL
Michał Kamiński;PSL
Mieczysław Kasprzak;PSL
Eugeniusz Kłopotek;PSL
Władysław Kosiniak-Kamysz;PSL
Kazimierz Kotowski;PSL
Jan Łopata;PSL
